provinsi,tahun,sektor,periode_upah,rata_rata_upah,periode_kemiskinan,gkm_makanan
KEP. BANGKA BELITUNG,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,2425171.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,J Informasi dan Komunikasi,FEBRUARI,2659890.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,3614653.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,L Real Estate,FEBRUARI,3715990.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,"M,N Jasa Perusahaan",FEBRUARI,3111598.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,4335639.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,P Jasa Pendidikan,FEBRUARI,2980886.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,3589044.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,1587708.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,Total,FEBRUARI,3155887.0,MARET,706833.0
KEP. RIAU,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,3232740.0,MARET,570132.0
KEP. RIAU,2025,B Pertambangan dan Penggalian,FEBRUARI,11567732.0,MARET,570132.0
KEP. RIAU,2025,C Industri Pengolahan,FEBRUARI,6354518.0,MARET,570132.0
KEP. RIAU,2025,D Pengadaan Listrik dan Gas,FEBRUARI,5734975.0,MARET,570132.0
KEP. RIAU,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,3044892.0,MARET,570132.0
KEP. RIAU,2025,F Konstruksi,FEBRUARI,3827420.0,MARET,570132.0
KEP. RIAU,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,3778517.0,MARET,570132.0
KEP. RIAU,2025,H Transportasi dan Pergudangan,FEBRUARI,4809589.0,MARET,570132.0
KEP. RIAU,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,3459829.0,MARET,570132.0
KEP. RIAU,2025,J Informasi dan Komunikasi,FEBRUARI,3708638.0,MARET,570132.0
KEP. RIAU,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,5889212.0,MARET,570132.0
KEP. RIAU,2025,L Real Estate,FEBRUARI,4404260.0,MARET,570132.0
KEP. RIAU,2025,"M,N Jasa Perusahaan",FEBRUARI,3921029.0,MARET,570132.0
KEP. RIAU,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,4746871.0,MARET,570132.0
KEP. RIAU,2025,P Jasa Pendidikan,FEBRUARI,3805259.0,MARET,570132.0
KEP. RIAU,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,4889051.0,MARET,570132.0
KEP. RIAU,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,2210538.0,MARET,570132.0
KEP. RIAU,2025,Total,FEBRUARI,4741492.0,MARET,570132.0
DKI JAKARTA,2025,B Pertambangan dan Penggalian,FEBRUARI,20842176.0,MARET,591933.0
DKI JAKARTA,2025,C Industri Pengolahan,FEBRUARI,4300416.0,MARET,591933.0
DKI JAKARTA,2025,D Pengadaan Listrik dan Gas,FEBRUARI,7424615.0,MARET,591933.0
DKI JAKARTA,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,7726039.0,MARET,591933.0
DKI JAKARTA,2025,F Konstruksi,FEBRUARI,4471461.0,MARET,591933.0
DKI JAKARTA,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,4086015.0,MARET,591933.0
DKI JAKARTA,2025,H Transportasi dan Pergudangan,FEBRUARI,4527338.0,MARET,591933.0
DKI JAKARTA,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,3710478.0,MARET,591933.0
DKI JAKARTA,2025,J Informasi dan Komunikasi,FEBRUARI,7587938.0,MARET,591933.0
DKI JAKARTA,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,7564045.0,MARET,591933.0
DKI JAKARTA,2025,L Real Estate,FEBRUARI,3853610.0,MARET,591933.0
DKI JAKARTA,2025,"M,N Jasa Perusahaan",FEBRUARI,7596216.0,MARET,591933.0
DKI JAKARTA,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,5367176.0,MARET,591933.0
DKI JAKARTA,2025,P Jasa Pendidikan,FEBRUARI,5447000.0,MARET,591933.0
DKI JAKARTA,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,6666567.0,MARET,591933.0
DKI JAKARTA,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,2560843.0,MARET,591933.0
DKI JAKARTA,2025,Total,FEBRUARI,4878943.0,MARET,591933.0
JAWA BARAT,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,1682564.0,MARET,410143.0
JAWA BARAT,2025,B Pertambangan dan Penggalian,FEBRUARI,3203262.0,MARET,410143.0
JAWA BARAT,2025,C Industri Pengolahan,FEBRUARI,3538972.0,MARET,410143.0
JAWA BARAT,2025,D Pengadaan Listrik dan Gas,FEBRUARI,5744939.0,MARET,410143.0
JAWA BARAT,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,3298231.0,MARET,410143.0
JAWA BARAT,2025,F Konstruksi,FEBRUARI,3237564.0,MARET,410143.0
JAWA BARAT,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,2971218.0,MARET,410143.0
JAWA BARAT,2025,H Transportasi dan Pergudangan,FEBRUARI,3573027.0,MARET,410143.0
JAWA BARAT,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,2312663.0,MARET,410143.0
JAWA BARAT,2025,J Informasi dan Komunikasi,FEBRUARI,4810003.0,MARET,410143.0
JAWA BARAT,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,5850895.0,MARET,410143.0
JAWA BARAT,2025,L Real Estate,FEBRUARI,5901580.0,MARET,410143.0
JAWA BARAT,2025,"M,N Jasa Perusahaan",FEBRUARI,4182863.0,MARET,410143.0
JAWA BARAT,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,3458991.0,MARET,410143.0
JAWA BARAT,2025,P Jasa Pendidikan,FEBRUARI,2549236.0,MARET,410143.0
JAWA BARAT,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,4575298.0,MARET,410143.0
JAWA BARAT,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,1655860.0,MARET,410143.0
JAWA BARAT,2025,Total,FEBRUARI,3258613.0,MARET,410143.0
JAWA TENGAH,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,2382574.0,MARET,407576.0
JAWA TENGAH,2025,B Pertambangan dan Penggalian,FEBRUARI,2431558.0,MARET,407576.0
JAWA TENGAH,2025,C Industri Pengolahan,FEBRUARI,2165389.0,MARET,407576.0
JAWA TENGAH,2025,D Pengadaan Listrik dan Gas,FEBRUARI,3103467.0,MARET,407576.0
JAWA TENGAH,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,2558281.0,MARET,407576.0
JAWA TENGAH,2025,F Konstruksi,FEBRUARI,2958471.0,MARET,407576.0
JAWA TENGAH,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,2007328.0,MARET,407576.0
JAWA TENGAH,2025,H Transportasi dan Pergudangan,FEBRUARI,2848878.0,MARET,407576.0
JAWA TENGAH,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,1726184.0,MARET,407576.0
JAWA TENGAH,2025,J Informasi dan Komunikasi,FEBRUARI,2343680.0,MARET,407576.0
JAWA TENGAH,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,3528237.0,MARET,407576.0
JAWA TENGAH,2025,L Real Estate,FEBRUARI,3031181.0,MARET,407576.0
JAWA TENGAH,2025,"M,N Jasa Perusahaan",FEBRUARI,2832101.0,MARET,407576.0
JAWA TENGAH,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,3993237.0,MARET,407576.0
